id_film,titre_film,duree,genres_liste,date_sortie,utilisateur_note,nbre_utilisateur_note
['6915208'],Eiga Chuunibyou demo koi ga shitai! Take On Me,94 min,"Animation, Comedy, Drama            ",(2018),7.3,"1,021"
['8065870'],Officer,122 min,"Action, Crime            ",(2018),3.2,404
['5617310'],Webcast,95 min,"Horror, Thriller            ",(2018),5.2,"1,270"
['7275822'],Klassentreffen 1.0,127 min,"Comedy, Drama            ",(2018),3.7,"1,701"
['8116036'],52 Words for Love,89 min,Drama            ,(2018),6.1,42
['7374968'],Likemeback,80 min,Drama            ,(2018),4.8,277
['4168932'],No More Mr Nice Guy,,"Action, Thriller            ",(2018),5.8,40
['8424862'],Skin: The Movie,51 min,Comedy            ,(2018),6.5,73
['9135870'],The Dead and the Damned 3: Ravaged,85 min,Horror            ,(2018),2.7,90
['7715988'],Cake,125 min,"Drama, Mystery, Romance            ", (2018),7.6,"1,161"
['8958304'],"Iti, Tomari Dhaka",134 min,Drama            ,(2018),6.9,701
['6575280'],Dreigroschenfilm,130 min,"Biography, Drama            ",(2018),6.6,663
['7527538'],Jefe,89 min,Comedy            ,(2018),5.5,"1,130"
['7205778'],Secretul fericirii,90 min,"Comedy, Drama            ",(2018),7.6,965
['6824598'],Das schönste Paar,97 min,"Crime, Drama, Romance            ",(2018),6.9,643
['7442274'],Can Feda,109 min,"Action, War            ",(2018),5.4,"1,762"
['5884834'],My Story,138 min,"Drama, Musical, Romance            ",(2018),4.4,572
['7707950'],Lady Ninja: Aoi kage,75 min,"Action, Adventure, History            ",(2018),6.8,42
['8423008'],Pagalpanti,124 min,"Comedy, Drama            ",(2018),5.1,23
['6131126'],Todo Mal,100 min,Comedy            ,(2018),4.7,240
['5218740'],Zeroes,104 min,Comedy            ,(2018),6.5,105
['5295774'],Videomannen,93 min,"Comedy, Drama, Thriller            ",(2018),5.8,853
['14059632'],A Lot Like Christmas,106 min,Romance            ,(II) (2018),6.2,10
['8731138'],Temporada,113 min,Drama            ,(2018),7.0,737
['4187366'],Vechtmeisje,84 min,"Action, Drama, Family            ",(2018),6.3,289
['7897348'],Latari,107 min,"Drama, Romance, Thriller            ",(2018),5.6,"3,149"
['6852154'],Abduction 2: Revenge of the Hive Queen,,Horror            ,(2018),5.1,18
['8470494'],Kindness Matters,102 min,Family            ,(2018),6.7,122
['3881916'],We,,"Adventure, Biography, Drama            ", (2018),5.5,64
['5468022'],Digimon Adventure tri. 6: Bokura no mirai,98 min,"Animation, Action, Adventure            ",(2018),7.1,823
['6465308'],Les aventures de Spirou et Fantasio,89 min,"Adventure, Comedy            ",(2018),3.9,518
['7169514'],Dilili à Paris,95 min,"Animation, Adventure, Family            ",(2018),6.8,"1,097"
['6967162'],A Murder of Innocence,103 min,Crime            ,(2018),3.6,119
['4569374'],Woodland,87 min,Thriller            ,(IV) (2018),5.3,985
['9844256'],Code Geass: Lelouch of the Rebellion III - Emperor,120 min,"Animation, Action, Sci-Fi            ",(2018),7.6,442
['13409986'],Don't Say Sorry,,Romance            ,(2018),9.5,15
['8669070'],Si Doel: The Movie,85 min,"Drama, Romance            ",(2018),6.8,419
['2949654'],Aasma,105 min,"Action, Crime, Drama            ",(2018),7.3,16
['7654890'],Les vieux fourneaux,89 min,"Comedy, Drama            ",(2018),6.0,765
['6892218'],Family Secrets,,Drama            ,(2018),6.0,15
['5906562'],Night Out,88 min,Comedy            ,(III) (2018),4.1,211
['6590856'],Pafsi,96 min,Drama            ,(2018),6.7,733
['7660450'],La profezia dell'armadillo,99 min,"Comedy, Drama            ",(2018),5.7,"1,083"
['7794052'],Merku Thodarchi Malai,122 min,Drama            ,(2018),8.6,"1,849"
['5850176'],Animator,98 min,"Action, Adventure, Drama            ",(2018),4.0,193
['7069496'],Firecrackers,93 min,Drama            ,(2018),6.0,582
['8170902'],Qué León,93 min,"Comedy, Romance            ",(2018),5.9,365
['5094192'],Goyo: Ang batang heneral,155 min,"Action, Biography, History            ",(2018),6.5,867
['7843946'],Dilan 1990,110 min,"Drama, Romance            ",(2018),7.0,"3,397"
['4702346'],Scott and Sid,100 min,"Comedy, Drama            ",(2018),6.5,"3,923"
['6937878'],Feral,101 min,"Drama, Horror, Mystery            ", (2018),5.8,132
['6121592'],Bachelor Lions,94 min,Comedy            ,(2018),7.7,83
['7642326'],Honor Up,84 min,"Action, Adventure            ",(2018),2.5,295
['7251888'],Coborâm la prima,84 min,Drama            ,(2018),7.0,723
['5887630'],Los amores cobardes,92 min,"Drama, Romance            ",(2018),5.7,292
['7598716'],Maassab (The Teacher),116 min,Drama            ,(2018),7.5,316
['8383596'],Deok-gu,91 min,Drama            ,(2018),6.7,220
['7998260'],Azaadi,152 min,"Action, Drama, Romance            ",(2018),5.6,294
['13253894'],Mad Maxine: Frisky Road,,Comedy            ,(2018),,
['5212488'],Transition,76 min,"Drama, Romance            ", (2018),5.0,126
['5707048'],Benzinho,95 min,"Comedy, Drama            ",(2018),7.1,"1,590"
['11169628'],The Undoing,,Drama            ,(2018),8.3,40
['8344532'],Tej... I Love You,122 min,Romance            ,(2018),5.4,470
['8512372'],Jailangkung 2,83 min,Horror            ,(2018),4.3,155
['6686700'],Steig. Nicht. Aus!,109 min,"Action, Drama, Thriller            ",(2018),5.8,"1,665"
['8396188'],Tanki,95 min,"Action, Comedy, History            ",(2018),4.9,"1,078"
['6544838'],Noches De Julio,78 min,"Drama, Romance            ",(2018),6.0,65
['7981492'],Sabrina,113 min,"Horror, Thriller            ",(2018),4.1,"1,801"
['8831284'],Shu Thayu,135 min,"Comedy, Drama            ",(2018),6.9,614
['5196158'],Die Haut der Anderen,113 min,"Drama, Thriller            ",(2018),5.1,156
['6389802'],Mohini,142 min,Horror            ,(2018),3.1,335
['7385836'],Sunset Society,90 min,Horror            ,(2018),2.9,164
['7799386'],Une intime conviction,110 min,Drama            ,(2018),6.8,"1,467"
['7305366'],Monsieur je-sais-tout,99 min,"Comedy, Drama            ",(2018),6.4,709
['6593240'],Mes provinciales,137 min,Drama            ,(2018),6.4,660
['7365740'],Tales of Frankenstein,112 min,"Comedy, Horror            ",(2018),4.9,648
['3060390'],Lawless Range,85 min,"Drama, Thriller            ",(2018),4.9,376
['8108212'],Rachayitha,122 min,Romance            ,(2018),7.1,80
['3766382'],Public Disturbance,84 min,Comedy            ,(2018),2.5,615
['5651572'],Worthless,80 min,"Drama, Thriller            ", (2018),2.9,151
['4974616'],Smuggling Hendrix,92 min,"Comedy, Drama            ",(2018),6.6,"1,099"
['6516734'],Pettersson und Findus - Findus zieht um,81 min,"Animation, Adventure, Comedy            ",(2018),5.1,175
['10911666'],Mesmerica 360,60 min,Music            ,(2018),6.8,10
['3373410'],Troy: The Resurrection of Aeneas,60 min,"Animation, Action, Adventure            ",(2018),1.1,150
['7575400'],Zombie World 2,83 min,"Comedy, Horror            ",(2018),2.7,118
['9089852'],El Pollo Es Loco,46 min,"Comedy, Horror            ",(2018),8.5,7
['7314630'],Black Flowers,108 min,Sci-Fi            ,(2018),3.1,323
['6381456'],Fig Tree,93 min,Drama            , (2018),6.7,141
['8053302'],Bal Kaymak,92 min,"Comedy, Drama, Family            ",(2018),5.1,449
['5851680'],Tuntematon mestari,95 min,Drama            ,(2018),7.2,"1,509"
['9398222'],SuperBobrovy. Narodnye mstiteli,90 min,"Comedy, Family, Fantasy            ",(2018),3.9,139
['3813018'],Bride of Violence,82 min,"Horror, Thriller            ",(2018),4.6,86
['7976904'],Føniks,85 min,Drama            ,(2018),6.5,269
['12588030'],Lodi,79 min,Drama            ,(2018),6.2,39
['5783476'],Hmyz,98 min,"Comedy, Drama            ",(2018),6.2,485
['2482856'],The Church,81 min,"Horror, Thriller            ", (2018),2.8,187
['7497366'],The Burial of Kojo,80 min,"Drama, Thriller            ",(2018),6.4,725
['8329150'],Tishnagi,136 min,"Romance, Thriller            ",(2018),5.2,31
['8956464'],Skazhene vesillya,90 min,Comedy            ,(2018),6.2,683
['8024556'],Laung Laachi,137 min,"Comedy, Drama            ",(2018),5.6,441
['7913394'],Norm of the North: Keys to the Kingdom,91 min,"Animation, Adventure, Comedy            ",(2018),3.0,863
['6185692'],Brampton's Own,89 min,Drama            ,(2018),5.3,508
['2401825'],Wu wen xi dong,138 min,Drama            ,(2018),6.4,"1,097"
['7697344'],The Last Breakfast Club,,Musical            ,(2018),6.9,11
['5987374'],El Silbón: Orígenes,91 min,"Drama, Horror, Mystery            ",(2018),4.4,146
['3517306'],Welcome to Curiosity,95 min,Thriller            ,(2018),5.0,"1,979"
['7095852'],Byeonsan,123 min,"Comedy, Drama, Music            ",(2018),6.5,386
['9177988'],Pozyvnyy 'Banderas',113 min,"Drama, Thriller, War            ",(2018),6.7,866
['8137722'],I douleia tis,89 min,Drama            ,(2018),6.7,562
['3616934'],"Blood, Sand and Gold",90 min,Action            ,(2018),3.7,493
['6596418'],Der Unschuldige,114 min,Drama            ,(2018),6.0,239
['9483744'],Boyfriend.com,,Drama            ,(2018),,
['8665624'],Happy Pill,,Drama            ,(2018),8.6,133
['7605084'],A Reckoning,80 min,Western            ,(2018),3.6,224
['5848992'],Sanky Panky 3,100 min,Comedy            ,(2018),5.9,107
['6610280'],Bad Investigate,120 min,"Action, Comedy, Crime            ",(2018),6.5,752
['7776050'],Saving My Baby,120 min,"Crime, Drama, Thriller            ",(2018),4.2,199
['4694366'],Mail Order Monster,89 min,"Drama, Family, Sci-Fi            ",(2018),5.1,615
['8016640'],French Viplavam,130 min,Comedy            ,(2018),4.9,13
['3563342'],The Middle of X,81 min,Drama            ,(2018),3.8,163
['6772418'],La Leyenda del Charro Negro,85 min,Animation            ,(2018),7.1,251
['6987760'],Snake Outta Compton,89 min,"Comedy, Horror, Sci-Fi            ",(2018),3.0,580
['7874378'],Pitbull. Ostatni Pies,124 min,"Action, Crime, Drama            ",(2018),6.2,"1,821"
['8688912'],Chi La Sow,135 min,"Comedy, Romance            ",(2018),7.7,"1,854"
['8080534'],District,67 min,Drama            ,(2018),5.2,81
['6037866'],Slam,115 min,Drama            ,(2018),6.1,144
['4168280'],At the End of the Day,108 min,"Comedy, Drama            ",(2018),5.6,467
['10895784'],Filthy Frank Final Full Lore Movie,124 min,Comedy            ,(2018),9.7,253
['4240848'],The Witness,113 min,"Action, Drama            ",(II) (2018),6.8,46
['7981260'],Garbage,105 min,"Drama, Thriller            ", (2018),3.7,"1,035"
['8665746'],Rx 100,153 min,"Action, Drama, Romance            ",(2018),6.9,"3,077"
['7493818'],Sunny: Tsuyoi Kimochi Tsuyoi Ai,118 min,"Comedy, Drama, Musical            ",(2018),6.7,693
['10160730'],Moses,130 min,,(II) (2018),7.2,6
['6317070'],Honor Amongst Men,85 min,Drama            ,(2018),5.0,71
['2397617'],To the Night,102 min,"Drama, Romance            ",(2018),5.6,126
['8845432'],Pang zi xing dong dui,109 min,"Action, Comedy            ",(2018),4.3,175
['5890460'],Dyke pole,120 min,"Adventure, Comedy, Drama            ",(2018),7.3,757
['8667310'],Hostel Girl's,,Crime            ,(2018),,
['22458828'],Blok 404,82 min,Thriller            ,(2018),,
['7080138'],Inori no maku ga oriru toki,119 min,"Mystery, Thriller            ",(2018),7.0,"1,318"
['7817124'],It's a Date,68 min,Romance            , (2018),6.3,64
['9261624'],Evanukku Engeyo Matcham Irukku,148 min,Comedy            ,(2018),2.8,111
['6318712'],Så længe jeg lever,110 min,"Biography, Drama, Music            ",(2018),6.5,"1,104"
['5887624'],Hangman,,Thriller            ,(II) (2018),7.0,25
['7881542'],Happy Phirr Bhag Jayegi,136 min,Comedy            ,(2018),4.5,"1,396"
['9494300'],Otlum,90 min,Horror            ,(2018),4.5,19
['7146028'],Maradona,148 min,"Action, Comedy, Thriller            ",(2018),6.3,691
['8269204'],Ammammagarillu,156 min,Romance            ,(2018),5.4,183
['9554958'],Ecinni,84 min,Horror            ,(2018),3.6,35
['8501318'],Baiorensu boijâ,83 min,"Animation, Adventure, Comedy            ",(2018),6.7,366
['5771010'],Skin Creepers,86 min,"Comedy, Fantasy, Horror            ",(2018),3.8,170
['4524418'],Warfighter,105 min,"Action, Drama, Romance            ",(2018),3.9,"1,278"
['8009306'],Chalthe Chalthe,135 min,"Action, Comedy, Drama            ",(2018),8.7,60
['6249636'],Samurai Sensei,93 min,Comedy            ,(2018),6.4,113
['5834362'],What Death Leaves Behind,87 min,"Drama, Mystery, Thriller            ",(2018),5.9,"1,102"
['7390090'],The Breeding,83 min,"Drama, Thriller            ",(2018),4.2,160
['8574848'],"I Love You, Hater",120 min,Comedy            ,(2018),5.9,122
['3729980'],The Choir Director,,Drama            ,(2018),6.0,31
['7746728'],Sol Alegria,90 min,"Comedy, Fantasy            ",(2018),5.4,242
['7254808'],Alien Crystal Palace,97 min,"Mystery, Thriller            ",(2018),2.8,200
['8553192'],La grande noirceur,95 min,"Drama, History            ",(2018),6.5,470
['4408104'],Lieutenant Jangles,103 min,"Action, Comedy, Crime            ",(2018),7.0,81
['5859352'],Hellmington,83 min,"Drama, Horror, Mystery            ",(2018),4.4,412
['6840280'],Chasing Comets,100 min,"Comedy, Drama            ",(2018),4.6,131
['8108168'],Golak Bugni Bank Te Batua,130 min,"Comedy, Drama            ",(2018),7.1,653
['11053238'],Girgit,155 min,Comedy            ,(2018),8.5,97
['8332592'],En Altamar,104 min,"Drama, Thriller            ",(2018),4.8,64
['4389006'],Fiore gemello,96 min,Drama            ,(2018),6.2,210
['9799088'],The Girl on the Train,,"Horror, Mystery, Thriller            ",(2018),7.6,45
['7858400'],The Good Journey,90 min,Drama            ,(2018),6.8,100
['6808064'],Kuttanpillayude Sivarathri,120 min,"Comedy, Drama, Mystery            ",(2018),6.5,564
['5072612'],Six Children and One Grandfather,105 min,"Comedy, Family            ",(2018),4.3,244
['8273258'],Lilli,91 min,Thriller            ,(2018),5.7,285
['7717990'],Alem-i Cin,93 min,Horror            ,(2018),3.8,260
['7126776'],Stillwater,92 min,"Mystery, Thriller            ",(2018),5.1,659
['5480520'],Vargur,95 min,"Crime, Drama, Thriller            ",(2018),6.1,494
['7533756'],Månelyst i Flåklypa,80 min,"Animation, Family            ",(2018),6.5,673
['8947034'],SGaawaay K'uuna,101 min,"Drama, History            ",(2018),6.6,336
['6723102'],Broken Mirrors,104 min,Drama            ,(2018),6.8,174
['6395680'],Covenant,85 min,"Horror, Thriller            ",(2018),4.2,"1,006"
['7526836'],FryDay,114 min,"Comedy, Drama            ",(2018),5.3,862
['7343732'],7 uczuc,118 min,"Comedy, Drama            ",(2018),6.4,"1,473"
['8749962'],Ashke,122 min,"Drama, Romance            ",(2018),6.9,"1,017"
['4878984'],Dibujando el Cielo,84 min,"Drama, Romance            ",(2018),5.7,106
['7158736'],Fünf Freunde und das Tal der Dinosaurier,102 min,"Adventure, Family            ",(2018),5.3,247
['6162716'],Life with Dog,106 min,Drama            ,(2018),6.2,83
['4795062'],His Master's Voice,108 min,"Drama, Sci-Fi            ",(2018),5.8,523
['2511254'],Near Myth: The Oskar Knight Story,95 min,Comedy            ,(2018),8.9,18
['6107404'],Edging,75 min,"Comedy, Drama            ",(2018),4.6,63
['8520966'],Rasuk,90 min,"Drama, Horror, Mystery            ",(2018),4.0,129
['7886846'],Bucket List,150 min,Family            , (2018),5.7,650
['7842764'],Healing Hands,92 min,Thriller            ,(2018),5.0,140
['8784906'],Ani... Dr. Kashinath Ghanekar,159 min,Drama            ,(2018),8.4,"1,141"
['7935328'],Mr. & Mrs. Cruz,116 min,Drama            ,(2018),7.4,80
['7391190'],Unwholly Moments,115 min,"Comedy, Drama            ",(2018),6.1,45
['6471474'],Survive or Die,83 min,Action            ,(2018),6.0,24
['8076266'],#TemanTapiMenikah,102 min,"Biography, Comedy, Drama            ",(2018),6.8,731
['9228892'],Singsu,103 min,"Horror, Thriller            ",(2018),4.4,156
['6417256'],The Misguided,88 min,"Comedy, Drama            ",(2018),6.4,790
['8515802'],Treacherous,90 min,Thriller            ,(2018),4.9,200
['7493804'],Nijiiro Days,109 min,"Comedy, Drama, Romance            ",(2018),6.3,263
['6468274'],The Return of Tiny Toon,112 min,"Animation, Comedy, Family            ",(2018),6.0,45
['9070794'],Holiday Spectacular,48 min,Family            ,(2018),6.6,68
['7816974'],Love & Drugs,98 min,Drama            ,(2018),7.4,32
['8094272'],Reva,159 min,Drama            ,(2018),8.3,860
['6116568'],Making a Killing,106 min,"Crime, Drama, Mystery            ",(II) (2018),5.1,314
['8617648'],Santet,85 min,Horror            ,(2018),3.8,321
['8720458'],Eski Köye Yeni Adet,102 min,Comedy            ,(2018),3.8,438
['8774622'],Peter Pan: The Quest for the Never Book,90 min,Animation            ,(2018),4.2,111
['4823538'],La Boda de Valentina,107 min,"Comedy, Romance            ",(2018),4.7,698
['7704392'],Eve of Abduction,88 min,Thriller            ,(2018),5.3,237
['6373994'],Andy the Talking Hedgehog,76 min,Family            ,(2018),2.3,142
['7359786'],Metal Heart,90 min,"Comedy, Romance            ",(2018),5.9,205
['7493184'],New Money,107 min,"Drama, Fantasy            ",(2018),5.2,71
['3685490'],Avalanche,83 min,"Comedy, Drama            ",(2018),5.1,443
['6732748'],Fubar,85 min,"Action, Comedy, Horror            ",(2018),4.7,693
['3142428'],The Perfect Host: A Southern Gothic Tale,93 min,"Drama, Horror, Thriller            ",(2018),3.8,181
['6858948'],Never Saw It Coming,83 min,Thriller            ,(2018),5.9,105
['6093618'],Antiquities,93 min,Comedy            ,(2018),5.7,"1,692"
['5822154'],Olavi Virta,125 min,"Biography, Drama, History            ",(2018),5.5,370
['6892446'],La terra dell'abbastanza,95 min,"Crime, Drama            ",(2018),6.8,"1,840"
['14819708'],Madeline & Cooper,56 min,Drama            ,(2018),5.0,22
['6973360'],Sin fin,96 min,"Adventure, Drama, Romance            ",(2018),6.7,519
['8531740'],Chicken Girls: The Movie,69 min,"Comedy, Drama            ",(2018),4.6,163
['5249994'],Tracks,86 min,Comedy            ,(II) (2018),5.5,148
['8630282'],Azali,92 min,Drama            ,(2018),5.7,227
['8063826'],The Bad Nun,97 min,"Horror, Mystery, Thriller            ",(2018),3.6,"1,939"
['7913172'],Pul-ip-deul,66 min,Drama            ,(2018),6.8,"1,273"
['6157970'],Wheely,90 min,"Animation, Adventure, Comedy            ",(2018),4.0,660
['7504214'],AA BB KK,121 min,Drama            ,(2018),7.7,414
['8105846'],His Perfect Obsession,85 min,Thriller            ,(2018),4.9,251
['3110892'],The Grounds,88 min,"Comedy, Drama            ",(2018),5.6,94
['6821870'],Chihayafuru: Musubi,128 min,"Comedy, Drama, Romance            ",(2018),7.2,635
['8551868'],Deadsight,81 min,Horror            ,(2018),4.2,605
['9279582'],Kung paano siya nawala,106 min,"Drama, Romance            ",(2018),6.7,111
['6763698'],The Stuff,81 min,"Action, Comedy, Drama            ",(2018),7.8,34
['7238112'],Una storia senza nome,110 min,Drama            ,(2018),6.0,634
['8562100'],Tyhjiö,97 min,"Comedy, Drama            ",(2018),7.1,714
['5564336'],Lucid,86 min,"Sci-Fi, Thriller            ",(II) (2018),4.3,414
['8028526'],Boonie Bears: The Big Shrink,90 min,Animation            ,(2018),5.4,231
['7322864'],Pup Star: World Tour,87 min,"Comedy, Family, Musical            ",(2018),3.9,217
['8311792'],"Muere, monstruo, muere",109 min,"Drama, Horror, Thriller            ",(2018),5.4,987
['7834586'],MAMBA,,"Action, Crime, Thriller            ",(2018),7.3,16
['8161226'],All You Need Is Love,113 min,"Comedy, Romance            ",(2018),6.0,691
['8106588'],Dead Women Walking,101 min,"Crime, Drama            ",(2018),7.6,130
['7487314'],A Dark Place,120 min,Drama            ,(2018),4.1,150
['6917242'],Made in Italy,100 min,"Comedy, Drama            ",(2018),5.8,"1,296"
['5770836'],Desolate,86 min,Drama            , (2018),5.1,473
['8427416'],Bhobishyoter Bhut,131 min,"Comedy, Horror            ",(2018),5.7,301
['7089878'],Rizu to aoi tori,90 min,"Animation, Drama, Fantasy            ",(2018),7.1,"1,781"
['8009522'],Nome di donna,98 min,Drama            ,(2018),5.8,408
['7407654'],Undercover Nanny,,Comedy            ,(2018),,
['7740342'],The Blair Witch Legacy,98 min,Horror            ,(2018),4.6,62
['9314596'],La balade d'Ivan,75 min,Drama            ,(2018),6.1,41
['7241800'],Bitter Melon,110 min,"Comedy, Crime, Drama            ",(2018),5.9,166
['8276106'],Rencor tatuado,150 min,"Comedy, Romance, Thriller            ",(2018),5.0,121
['8650508'],Ee Maaya Peremito,108 min,Romance            ,(2018),6.3,85
['5335244'],The Other Side,95 min,"Comedy, Drama, Romance            ",(II) (2018),4.4,137
['7981864'],The Wind in the Willows: The Musical,140 min,Musical            ,(2018),7.4,61
['7690774'],Víti í Vestmannaeyjum,97 min,"Comedy, Drama, Family            ",(2018),5.8,143
['7353454'],"¿Eres tú, papá?",107 min,Horror            ,(2018),5.2,233
['3027994'],A Lonely Woman,105 min,"Action, Crime, Drama            ",(2018),2.7,167
['8041916'],Time Jumpers,79 min,Sci-Fi            ,(2018),4.3,"1,343"
['8374266'],Guptodhoner Sondhane,130 min,Adventure            ,(2018),6.8,"1,125"
['8262666'],The Piano Man,90 min,Drama            ,(2018),8.5,10
['8630054'],Bonhomme,103 min,"Comedy, Drama, Romance            ",(2018),6.0,192
['6972372'],Place publique,98 min,"Comedy, Drama            ",(2018),5.9,"1,116"
['3968634'],Defeated,,"Drama, Romance            ",(2018),7.6,16
['6774588'],Curtiz,98 min,"Biography, Drama, History            ",(2018),6.0,"1,086"
['8900984'],"Dark, Deadly & Dreadful",87 min,Horror            ,(2018),5.1,340
['6679412'],Rimetti a noi i nostri debiti,104 min,Drama            ,(2018),6.2,"1,626"
['6231784'],Cherokee Creek,118 min,"Comedy, Horror, Thriller            ",(2018),3.6,619
['6867784'],Gohin Hridoy,109 min,Drama            ,(2018),6.9,29
['6951518'],Million Loves in Me,108 min,"Comedy, Drama            ",(2018),8.3,83
['8661062'],Kung paano hinihintay ang dapithapon,90 min,Drama            ,(2018),7.7,59
['7146578'],Volontaire,101 min,Drama            ,(2018),5.7,405
['8223408'],Defying Chase,88 min,"Action, Comedy            ",(2018),6.2,88
['4941032'],Oxalis,,"Sci-Fi, Thriller            ",(2018),3.7,132
['9124840'],Organik Ask,100 min,"Comedy, Romance            ",(2018),4.2,153
['7543072'],Love Shot,80 min,"Comedy, Crime, Romance            ",(2018),5.6,601
['6175802'],Asphaltgorillas,103 min,"Action, Comedy, Crime            ",(2018),5.6,658
['8702008'],El bosque negro,98 min,Horror            ,(2018),5.8,361
['5613786'],Wetware,104 min,Sci-Fi            ,(2018),5.4,67
['6835498'],Khrustal,95 min,Drama            ,(2018),7.0,"1,760"
['5541186'],Trust,92 min,Drama            , (2018),6.0,124
['8041922'],Watch If You Dare,71 min,"Comedy, Horror            ",(2018),3.7,"1,890"
['5922786'],Nightshot,91 min,"Drama, Horror            ",(2018),5.3,294
['10422832'],Ephemeral Eternity,77 min,Romance            ,(2018),4.1,11
['6157294'],Entre dos aguas,136 min,"Adventure, Drama            ",(2018),6.5,764
['4694546'],The Tempter,97 min,Horror            ,(2018),2.7,130
['4897124'],The Margarita Man,95 min,"Comedy, Drama, Romance            ",(2018),4.2,173
['7295378'],Bon Bini Holland 2,89 min,"Action, Comedy, Crime            ",(2018),5.3,577
['7068878'],Urban Country,88 min,"Comedy, Drama, Family            ",(2018),4.7,322
['7368554'],Tlmocník,113 min,"Comedy, Drama            ",(2018),6.8,544
['6169920'],L'animale,100 min,Drama            ,(2018),6.6,592
['5230380'],O Segredo de Davi,112 min,"Crime, Drama, Horror            ",(2018),5.6,574
['8365050'],Raambo2,140 min,Comedy            ,(2018),6.2,92
['8983140'],Flat No. 609,109 min,Thriller            ,(2018),5.5,179
['8908006'],Trezor,75 min,"Crime, History, Thriller            ",(2018),7.0,"1,071"
['7831092'],Me Too,60 min,"Biography, Drama            ", (2018),4.7,8
['7942708'],KL Special Force,106 min,"Action, Crime, Drama            ",(2018),6.1,486
['8822402'],Bizi Hatirla,120 min,Drama            ,(2018),7.3,"2,657"
['4707274'],El complot mongol,100 min,"Crime, Thriller            ",(2018),5.6,548
['10467288'],Dragon Blade,96 min,"Action, Adventure, Drama            ",(2018),,
['8233184'],Livescream,70 min,Horror            ,(2018),5.6,154
['7591430'],Summer Survivors,91 min,Drama            ,(2018),7.6,"1,378"
['6105150'],Sliders,65 min,Drama            ,(2018),3.3,33
['7831674'],Raoul Taburin,89 min,Comedy            ,(2018),6.1,945
['7765120'],Figlia mia,97 min,Drama            ,(2018),6.1,"1,135"
['9174008'],"Utopía, La Película",90 min,"Action, Drama            ",(2018),5.7,93
['8265174'],BÚÉK,102 min,"Comedy, Drama            ",(2018),7.0,"2,243"
['8142044'],1st Summoning,97 min,Horror            ,(2018),3.3,921
['4737772'],All She Wrote,97 min,"Action, Comedy, Romance            ",(2018),5.3,688
['8105684'],La Rusa,60 min,Thriller            ,(2018),5.3,70
['8669090'],Dimsum Martabak,98 min,"Comedy, Romance            ",(2018),6.2,92
['8746192'],Translated,117 min,Drama            ,(2018),6.4,122
['8084510'],4N1K 2,100 min,"Comedy, Romance            ",(2018),3.8,453
['6318728'],Un ange,105 min,"Drama, Romance            ",(2018),5.8,484
['9163082'],Kaibatsu,80 min,Drama            ,(2018),,
['8324576'],Jiao tou 2: Wang zhe zai qi,127 min,Crime            ,(2018),6.1,499
['5837976'],The Price for Silence,107 min,Drama            ,(2018),4.2,195
['6535838'],Woodstock or Bust,90 min,Drama            ,(2018),4.0,179
['7631890'],My Side Piece Hit the Lotto,106 min,Drama            ,(2018),4.0,36
['2396557'],Lemon Drop,99 min,"Drama, Romance            ",(2018),7.1,83
['7902704'],Inttelligent,130 min,"Action, Crime, Drama            ",(2018),3.2,359
['4325644'],Union,135 min,"Drama, History, War            ",(II) (2018),4.3,113
['7217290'],Golpe de Sol,88 min,"Drama, Romance            ",(2018),5.1,228
['7510798'],Maari 2,143 min,"Action, Comedy            ",(2018),5.6,"3,023"
['8368032'],Miss Granny,120 min,"Comedy, Fantasy, Music            ",(2018),7.2,"1,808"
['5748106'],Ice: The Movie,98 min,"Drama, Sport            ",(2018),7.1,26
['6834466'],Samhaara,,"Action, Thriller            ",(2018),6.2,56
['4320180'],Lost in Time,90 min,"Drama, Romance            ", (2018),8.1,10
['4637946'],El Piedra,90 min,Drama            ,(2018),7.1,99
['6109124'],Aadhi,158 min,"Action, Thriller            ",(2018),6.4,"2,126"
['6424188'],Betsy,81 min,Horror            ,(2018),3.1,175
['4809590'],Marla,92 min,Horror            ,(2018),3.4,229
['7205942'],Gundermann,128 min,"Biography, Drama, History            ",(2018),7.2,"1,988"
['7558912'],Ai no yamai,96 min,"Crime, Drama            ",(2018),5.7,51
['5420870'],Toy Gun,103 min,"Action, Comedy, Crime            ",(2018),5.4,331
['6140148'],Bullitt County,98 min,"Action, Drama, Thriller            ",(2018),4.7,552
['6981702'],Sin rodeos,87 min,Comedy            ,(2018),5.7,"2,418"
['8655740'],Kardesler,103 min,Drama            ,(2018),5.8,144
['8007250'],Buurman & Buurman: Hebben een nieuw huis,54 min,Family            ,(2018),6.9,58
['8869486'],Roi Soleil,61 min,Action            ,(2018),5.3,82
['6250876'],Almost Home,90 min,Drama            , (2018),5.2,161
['8216094'],Penelope,67 min,"Comedy, Drama, Mystery            ",(2018),5.5,64
['15121104'],Pervertidas II,88 min,Drama            ,(2018),7.8,10
['7344246'],Allá en el Rancho,92 min,Comedy            ,(2018),4.5,386
['7477108'],Eeda,152 min,"Drama, Romance            ",(2018),7.1,604
['7240616'],Krew Boga,100 min,History            ,(2018),5.3,423
['8286772'],La jaula,,Thriller            ,(2018),5.3,25
['7537960'],Weldi,104 min,Drama            ,(2018),6.5,426
['6594244'],Megan's Christmas Miracle,87 min,Family            ,(2018),4.7,63
