id_film,titre_film,duree,genres_liste,date_sortie,utilisateur_note,nbre_utilisateur_note
['7668870'],Searching,102 min,"Drama, Horror, Mystery            ",(III) (2018),7.6,"163,402"
['5028340'],Mary Poppins Returns,130 min,"Adventure, Comedy, Family            ",(2018),6.7,"88,710"
['1843303'],The VelociPastor,75 min,"Action, Adventure, Comedy            ",(2018),5.0,"6,467"
['2328900'],Mary Queen of Scots,124 min,"Biography, Drama, History            ",(2018),6.3,"51,115"
['6911608'],Mamma Mia! Here We Go Again,114 min,"Comedy, Musical, Romance            ",(2018),6.6,"96,104"
['4530422'],Overlord,110 min,"Action, Horror, Sci-Fi            ",(2018),6.6,"99,945"
['1072748'],Winchester,99 min,"Drama, Fantasy, Horror            ",(2018),5.4,"34,605"
['4827558'],High Life,113 min,"Adventure, Drama, Horror            ",(2018),5.8,"36,409"
['5610554'],Tully,95 min,"Comedy, Drama, Mystery            ",(2018),6.9,"59,756"
['5104604'],Isle of Dogs,101 min,"Animation, Adventure, Comedy            ",(2018),7.8,"169,398"
['1846589'],Hunter Killer,121 min,"Action, Thriller            ",(2018),6.6,"64,107"
['6155172'],Roma,135 min,Drama            ,(2018),7.7,"158,732"
['4068576'],The Nightingale,136 min,"Adventure, Drama, Thriller            ", (2018),7.3,"31,481"
['6195094'],Ghostland,91 min,"Drama, Horror, Mystery            ",(2018),6.4,"33,359"
['5304992'],Set It Up,105 min,"Comedy, Romance            ",(2018),6.5,"54,749"
['8255490'],Surviving Christmas with the Relatives,101 min,Comedy            ,(2018),5.1,990
['6499752'],Upgrade,100 min,"Action, Sci-Fi, Thriller            ",(2018),7.5,"186,555"
['4701182'],Bumblebee,114 min,"Action, Adventure, Sci-Fi            ", (2018),6.7,"165,942"
['3799232'],The Kissing Booth,105 min,"Comedy, Romance            ",(2018),5.9,"84,841"
['4537896'],White Boy Rick,111 min,"Crime, Drama            ",(2018),6.5,"38,242"
['5177088'],The Girl in the Spider's Web,115 min,"Action, Crime, Drama            ",(2018),6.1,"48,210"
['5437928'],Colette,111 min,"Biography, Drama, History            ", (2018),6.7,"24,045"
['5246700'],How It Ends,113 min,"Action, Drama, Horror            ",(2018),5.0,"53,711"
['7401588'],Instant Family,118 min,"Comedy, Drama            ",(2018),7.3,"107,747"
['5523010'],The Nutcracker and the Four Realms,99 min,"Adventure, Family, Fantasy            ",(2018),5.5,"33,805"
['5164432'],"Love, Simon",110 min,"Comedy, Drama, Romance            ",(2018),7.5,"115,708"
['2231461'],Rampage,107 min,"Action, Adventure, Sci-Fi            ",(2018),6.1,"169,074"
